J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;0;319;889;974;536;670;429;152;0;Des Érables / Villeray
0;0;0;605;1597;1887;1544;850;657;621;204;0;Desjardins / Ontario
0;0;0;2;0;0;18;33;48;0;0;0;Dixie / 53e avenue
0;0;0;34;114;87;109;95;92;49;15;0;Dixie / 54e avenue
0;0;0;691;1904;2075;1726;1963;2264;1878;887;0;Dollard / Bernard
0;0;0;1033;3186;3432;3032;3503;4013;3149;1209;0;Dollard / Van Horne
0;0;0;0;0;0;0;1326;1641;1361;501;0;Dorion / Gauthier
0;0;0;1881;5258;6546;7050;6597;6472;5232;1977;0;Dorion / Ontario
0;0;0;534;1875;2647;2804;2923;3289;2799;1155;0;Dorion / Rachel
0;0;0;0;0;0;0;2316;2546;2221;916;0;Dorion / Sherbrooke
